1,1725
2,12338
3,17
4,1
5,7
6,4011
7,6116
8,2294
9,1
10,72
11,5
12,1000
13,297
14,237
15,1859
16,1439
17,146
18,4
19,50
20,138
21,7
22,132
23,510
24,224
25,984
26,79
27,3
28,108
29,437
30,2
31,495
32,1034
33,782
34,280
35,15
36,4
37,14
38,22
39,406
40,2
41,2
42,8
43,63
44,964
45,1918
46,818
47,1
48,5
49,2
50,61
51,2
52,48
53,228
54,171
55,5
56,56
57,79
58,418
59,1416
60,1
61,91
62,159
63,4
64,8
65,1
66,334
67,12
68,63
69,37
70,18
71,4
72,1
73,2
74,3
75,2
76,83
77,53
78,1
79,137
80,804
81,60
82,150
83,3
84,8
85,60
86,12
87,80
88,168
89,2
90,33
91,202
92,43
93,11
94,70
95,69
96,1
97,25
98,221
99,338
100,11
101,745
102,513
103,304
104,152
105,96
106,870
107,90
108,156
109,1151
110,1415
111,22
112,2
113,139
114,134
115,82
116,90
117,2
118,559
119,1
120,147
121,727
122,574
123,201
124,2
125,341
126,27
127,455
128,42
129,232
130,1
131,66
132,8
133,19
134,174
135,1
136,15
137,340
138,2
139,173
140,68
141,1
142,103
143,706
144,5
145,173
146,79
147,113
148,8
149,2
150,19
151,9
152,19
153,181
154,1
155,71
156,320
157,24
158,2
159,34
160,17
161,54
162,3
163,7
164,217
165,51
166,8
167,79
168,152
169,104
170,20
171,11
172,314
173,270
174,10
175,86
176,87
177,585
178,54
179,38
180,36
181,1
182,4
183,72
184,177
185,180
186,22
187,153
188,27
189,46
190,208
191,393
192,172
193,1
194,33
195,4
196,66
197,85
198,488
199,58
200,117
201,102
202,2
203,128
204,302
205,171
206,3
207,15
208,79
209,220
210,1
211,25
212,8
213,1
214,142
215,1
216,11
217,1
218,1
219,1
220,8
221,50
222,1
223,59
224,149
225,7
226,58
227,3
228,67
229,23
230,46
231,184
232,1
233,1
234,1
235,2
236,3
237,118
238,125
239,9
240,35
241,32
242,107
243,128
244,7
245,229
246,1
247,59
248,38
249,4
250,31
251,26
252,305
253,7
254,119
255,37
256,26
257,26
258,25
259,1
260,3
261,127
262,2
263,16
264,4
265,1
266,10
267,48
268,124
269,24
270,68
271,15
272,193
273,22
274,151
275,1
276,9
277,17
278,12
279,9
280,1
281,84
282,2
283,6
284,47
285,2
286,1
287,1
288,1
289,2
290,27
291,6
292,3
293,80
294,14
295,54
296,54
297,82
298,28
299,18
300,23
301,21
302,6
303,1
304,1
305,2
306,11
307,3
308,6
309,46
310,4
311,16
312,13
313,16
314,15
315,5
316,2
317,17
