ACCEPT_HANDOVER
ACCESS_AMBIENT_LIGHT_STATS
ACCESS_BROADCAST_RADIO
ACCESS_CACHE_FILESYSTEM
ACCESS_CHECKIN_PROPERTIES
ACCESS_COARSE_LOCATION
ACCESS_CONTENT_PROVIDERS_EXTERNALLY
ACCESS_DRM_CERTIFICATES
ACCESS_FINE_LOCATION
ACCESS_FM_RADIO
ACCESS_IMS_CALL_SERVICE
ACCESS_INPUT_FLINGER
ACCESS_INSTANT_APPS
ACCESS_KEYGUARD_SECURE_STORAGE
ACCESS_LOCATION_EXTRA_COMMANDS
ACCESS_LOWPAN_STATE
ACCESS_MOCK_LOCATION
ACCESS_MTP
ACCESS_NETWORK_CONDITIONS
ACCESS_NETWORK_STATE
ACCESS_NOTIFICATION_POLICY
ACCESS_NOTIFICATIONS
ACCESS_PDB_STATE
ACCESS_SHORTCUTS
ACCESS_SURFACE_FLINGER
ACCESS_UCE_OPTIONS_SERVICE
ACCESS_UCE_PRESENCE_SERVICE
ACCESS_VOICE_INTERACTION_SERVICE
ACCESS_VR_MANAGER
ACCESS_VR_STATE
ACCESS_WIFI_STATE
ACCESS_WIMAX_STATE
ACCOUNT_MANAGER
ACTIVITY_EMBEDDING
ALLOCATE_AGGRESSIVE
ALLOW_ANY_CODEC_FOR_PLAYBACK
ANSWER_PHONE_CALLS
ASEC_ACCESS
ASEC_CREATE
ASEC_DESTROY
ASEC_MOUNT_UNMOUNT
ASEC_RENAME
AUTHENTICATE_ACCOUNTS
BACKUP
BATTERY_STATS
BIND_ACCESSIBILITY_SERVICE
BIND_APPWIDGET
BIND_AUTOFILL
BIND_AUTOFILL_FIELD_CLASSIFICATION_SERVICE
BIND_AUTOFILL_SERVICE
BIND_CACHE_QUOTA_SERVICE
BIND_CALL_REDIRECTION_SERVICE
BIND_CARRIER_MESSAGING_SERVICE
BIND_CARRIER_SERVICES
BIND_CHOOSER_TARGET_SERVICE
BIND_COMPANION_DEVICE_MANAGER_SERVICE
BIND_CONDITION_PROVIDER_SERVICE
BIND_CONNECTION_SERVICE
BIND_DEVICE_ADMIN
BIND_DIRECTORY_SEARCH
BIND_DREAM_SERVICE
BIND_EUICC_SERVICE
BIND_IMS_SERVICE
BIND_INCALL_SERVICE
BIND_INPUT_METHOD
BIND_INTENT_FILTER_VERIFIER
BIND_JOB_SERVICE
BIND_KEYGUARD_APPWIDGET
BIND_MIDI_DEVICE_SERVICE
BIND_NETWORK_RECOMMENDATION_SERVICE
BIND_NFC_SERVICE
BIND_NOTIFICATION_ASSISTANT_SERVICE
